25-Aug-22,,,,,,,,,,,,,,,,,,,,,,,
"State and Local Tax Revenue [1], Per Capita [2], Selected Years 1977-2020",,,,,,,,,,,,,,,,,,,,,,,
[Dollars],,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Region and State,1977,1982,1987,1992,1997,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,
United States .................................................................................,801    ,"1,150    ","1,671    ","2,195    ","2,720    ","3,145    ","3,448    ","3,714    ","4,038    ","4,260    ","4,372    ","4,180    ","4,134    ","4,314    ","4,422    ","4,596    ","4,682    ","4,859    ","4,939    ","5,075    ","5,397    ","5,644    ","5,616    "
,,,,,,,,,,,,,,,,,,,,,,,
New England.................................................................................,891    ,"1,255    ","1,960    ","2,607    ","3,342    ","3,732    ","4,211    ","4,528    ","4,773    ","5,035    ","5,256    ","5,017    ","5,102    ","5,408    ","5,616    ","5,811    ","5,925    ","6,178    ","6,263    ","6,411    ","6,820    ","7,098    ","7,130    "
Connecticut.................................................................................,891    ,"1,324    ","2,178    ","3,123    ","4,203    ","4,387    ","4,955    ","5,434    ","5,702    ","6,113    ","6,350    ","5,977    ","6,052    ","6,481    ","6,959    ","7,158    ","7,208    ","7,354    ","7,295    ","7,661    ","8,310    ","8,528    ","8,448    "
Maine.................................................................................,649    ,"1,017    ","1,630    ","2,191    ","2,863    ","3,509    ","3,890    ","4,090    ","4,255    ","4,331    ","4,466    ","4,376    ","4,387    ","4,539    ","4,621    ","4,735    ","4,787    ","5,039    ","5,171    ","5,244    ","5,500    ","6,092    ","6,420    "
Massachusetts.................................................................................,"1,009    ","1,343    ","2,058    ","2,555    ","3,290    ","3,710    ","4,188    ","4,459    ","4,738    ","4,994    ","5,279    ","4,971    ","5,081    ","5,419    ","5,562    ","5,747    ","5,957    ","6,268    ","6,400    ","6,476    ","6,865    ","7,207    ","7,265    "
New Hampshire.................................................................................,606    ,906    ,"1,408    ","2,240    ","2,346    ","2,832    ","3,136    ","3,311    ","3,443    ","3,613    ","3,771    ","3,825    ","3,950    ","3,989    ","3,989    ","4,446    ","4,288    ","4,624    ","4,773    ","4,921    ","5,291    ","5,142    ","5,131    "
Rhode Island.................................................................................,775    ,"1,214    ","1,711    ","2,318    ","2,954    ","3,398    ","3,924    ","4,225    ","4,413    ","4,527    ","4,623    ","4,539    ","4,579    ","4,794    ","4,995    ","5,045    ","5,094    ","5,285    ","5,417    ","5,469    ","5,530    ","5,741    ","5,732    "
Vermont.................................................................................,791    ,"1,098    ","1,828    ","2,322    ","2,746    ","3,195    ","3,699    ","4,161    ","4,441    ","4,711    ","4,698    ","4,715    ","4,718    ","5,006    ","5,086    ","5,243    ","5,542    ","5,710    ","5,833    ","5,866    ","6,169    ","6,492    ","6,450    "
,,,,,,,,,,,,,,,,,,,,,,,
Mideast.................................................................................,"1,020    ","1,460    ","2,217    ","2,933    ","3,464    ","3,989    ","4,506    ","4,919    ","5,334    ","5,738    ","5,921    ","5,778    ","5,769    ","6,042    ","6,259    ","6,438    ","6,640    ","6,866    ","7,035    ","7,143    ","7,551    ","7,779    ","7,937    "
Delaware.................................................................................,816    ,"1,206    ","1,787    ","2,345    ","2,933    ","3,342    ","3,621    ","3,902    ","4,242    ","4,193    ","4,208    ","4,055    ","4,022    ","4,299    ","4,509    ","4,593    ","4,410    ","4,767    ","4,756    ","4,866    ","5,492    ","5,857    ","5,859    "
District of Columbia.................................................................................,"1,091    ","1,936    ","3,006    ","4,121    ","4,986    ","5,565    ","6,829    ","7,265    ","7,810    ","9,039    ","9,303    ","8,465    ","8,313    ","8,734    ","9,376    ","9,586    ","9,746    ","10,689    ","11,010    ","11,258    ","11,625    ","12,454    ","12,077    "
Maryland.................................................................................,880    ,"1,252    ","1,885    ","2,340    ","2,913    ","3,653    ","4,009    ","4,255    ","4,582    ","4,602    ","4,784    ","4,896    ","4,846    ","4,975    ","5,283    ","5,415    ","5,552    ","5,802    ","6,024    ","6,166    ","6,414    ","6,659    ","6,810    "
New Jersey.................................................................................,938    ,"1,335    ","2,103    ","2,995    ","3,402    ","4,053    ","4,593    ","5,088    ","5,486    ","5,926    ","6,174    ","5,884    ","5,806    ","6,029    ","6,093    ","6,265    ","6,357    ","6,573    ","6,578    ","6,873    ","7,225    ","7,581    ","7,578    "
New York.................................................................................,"1,263    ","1,788    ","2,766    ","3,541    ","4,160    ","4,638    ","5,256    ","5,788    ","6,360    ","7,005    ","7,191    ","7,075    ","7,079    ","7,444    ","7,779    ","8,008    ","8,378    ","8,581    ","8,823    ","8,811    ","9,397    ","9,491    ","9,945    "
Pennsylvania.................................................................................,763    ,"1,116    ","1,570    ","2,194    ","2,653    ","3,053    ","3,448    ","3,706    ","3,935    ","4,146    ","4,289    ","4,124    ","4,166    ","4,388    ","4,465    ","4,578    ","4,654    ","4,857    ","5,006    ","5,146    ","5,384    ","5,685    ","5,554    "
,,,,,,,,,,,,,,,,,,,,,,,
Great Lakes.................................................................................,771    ,"1,117    ","1,609    ","2,094    ","2,722    ","3,159    ","3,419    ","3,674    ","3,830    ","3,961    ","4,066    ","3,970    ","3,945    ","4,106    ","4,329    ","4,453    ","4,484    ","4,591    ","4,605    ","4,759    ","5,000    ","5,190    ","5,177    "
Illinois.................................................................................,847    ,"1,197    ","1,657    ","2,206    ","2,824    ","3,317    ","3,580    ","3,843    ","4,086    ","4,338    ","4,410    ","4,330    ","4,373    ","4,672    ","5,354    ","5,555    ","5,669    ","5,668    ","5,494    ","5,701    ","6,132    ","6,406    ","6,400    "
Indiana.................................................................................,637    ,883    ,"1,322    ","1,888    ","2,507    ","2,763    ","3,005    ","3,518    ","3,551    ","3,418    ","3,678    ","3,724    ","3,598    ","3,556    ","3,703    ","3,732    ","3,718    ","3,806    ","3,852    ","3,961    ","4,481    ","4,753    ","4,707    "
Michigan.................................................................................,870    ,"1,254    ","1,774    ","2,131    ","2,720    ","3,057    ","3,318    ","3,498    ","3,573    ","3,709    ","3,785    ","3,627    ","3,570    ","3,682    ","3,660    ","3,728    ","3,750    ","3,970    ","4,061    ","4,215    ","4,335    ","4,426    ","4,263    "
Ohio.................................................................................,629    ,974    ,"1,477    ","1,955    ","2,596    ","3,167    ","3,416    ","3,636    ","3,840    ","3,968    ","4,037    ","3,827    ","3,781    ","3,939    ","4,052    ","4,185    ","4,187    ","4,351    ","4,444    ","4,595    ","4,653    ","4,768    ","4,857    "
Wisconsin.................................................................................,877    ,"1,255    ","1,800    ","2,304    ","3,005    ","3,417    ","3,709    ","3,862    ","4,001    ","4,157    ","4,289    ","4,329    ","4,360    ","4,530    ","4,454    ","4,590    ","4,566    ","4,631    ","4,752    ","4,853    ","4,943    ","5,189    ","5,269    "
,,,,,,,,,,,,,,,,,,,,,,,
Plains.................................................................................,736    ,"1,054    ","1,527    ","1,999    ","2,679    ","3,020    ","3,264    ","3,455    ","3,660    ","3,843    ","3,999    ","3,954    ","3,924    ","4,179    ","4,371    ","4,610    ","4,651    ","4,822    ","4,841    ","4,929    ","5,185    ","5,417    ","5,325    "
Iowa.................................................................................,743    ,"1,141    ","1,576    ","2,051    ","2,521    ","2,844    ","3,067    ","3,290    ","3,459    ","3,638    ","3,820    ","3,956    ","3,939    ","4,147    ","4,409    ","4,527    ","4,502    ","4,721    ","4,857    ","4,964    ","5,105    ","5,332    ","5,434    "
Kansas.................................................................................,728    ,"1,038    ","1,526    ","1,969    ","2,585    ","2,940    ","3,384    ","3,450    ","3,790    ","4,078    ","4,228    ","4,089    ","3,990    ","4,104    ","4,333    ","4,430    ","4,378    ","4,390    ","4,536    ","4,612    ","5,152    ","5,302    ","5,210    "
Minnesota.................................................................................,904    ,"1,274    ","1,910    ","2,488    ","3,356    ","3,679    ","3,824    ","4,104    ","4,365    ","4,544    ","4,711    ","4,582    ","4,636    ","5,018    ","5,228    ","5,674    ","5,605    ","5,929    ","6,061    ","6,137    ","6,406    ","6,666    ","6,507    "
Missouri.................................................................................,602    ,844    ,"1,266    ","1,661    ","2,329    ","2,662    ","2,823    ","2,992    ","3,115    ","3,247    ","3,338    ","3,267    ","3,157    ","3,251    ","3,379    ","3,426    ","3,463    ","3,624    ","3,695    ","3,821    ","3,941    ","4,121    ","3,967    "
Nebraska.................................................................................,784    ,"1,041    ","1,480    ","2,014    ","2,713    ","3,082    ","3,621    ","3,756    ","3,889    ","4,054    ","4,135    ","4,133    ","4,092    ","4,319    ","4,397    ","4,641    ","4,820    ","4,991    ","5,051    ","5,065    ","5,340    ","5,501    ","5,652    "
North Dakota.................................................................................,685    ,"1,105    ","1,294    ","1,669    ","2,463    ","2,727    ","2,989    ","3,339    ","3,718    ","3,971    ","4,814    ","4,998    ","5,266    ","6,932    ","7,315    ","8,761    ","9,679    ","9,124    ","6,559    ","6,437    ","7,207    ","8,294    ","7,545    "
South Dakota.................................................................................,629    ,917    ,"1,214    ","1,557    ","2,002    ","2,417    ","2,605    ","2,716    ","2,838    ","3,026    ","3,131    ","3,167    ","3,162    ","3,281    ","3,472    ","3,520    ","3,687    ","3,836    ","4,059    ","4,232    ","4,285    ","4,368    ","4,466    "
,,,,,,,,,,,,,,,,,,,,,,,
Southeast.................................................................................,578    ,875    ,"1,299    ","1,753    ","2,265    ","2,623    ","2,874    ","3,096    ","3,415    ","3,588    ","3,603    ","3,407    ","3,303    ","3,367    ","3,401    ","3,482    ","3,516    ","3,648    ","3,726    ","3,850    ","4,031    ","4,198    ","4,231    "
Alabama.................................................................................,496    ,756    ,"1,113    ","1,443    ","1,842    ","2,173    ","2,335    ","2,566    ","2,774    ","2,891    ","2,972    ","2,849    ","2,835    ","2,894    ","2,960    ","2,984    ","2,971    ","3,093    ","3,250    ","3,317    ","3,439    ","3,603    ","3,756    "
Arkansas.................................................................................,478    ,727    ,"1,068    ","1,525    ","2,029    ","2,370    ","2,539    ","2,896    ","3,105    ","3,216    ","3,272    ","3,270    ","3,250    ","3,386    ","3,520    ","3,645    ","3,756    ","3,864    ","3,961    ","4,019    ","4,149    ","4,309    ","4,336    "
Florida.................................................................................,601    ,881    ,"1,369    ","1,920    ","2,427    ","2,691    ","3,096    ","3,363    ","3,850    ","3,975    ","3,967    ","3,664    ","3,442    ","3,379    ","3,349    ","3,387    ","3,377    ","3,443    ","3,541    ","3,729    ","3,964    ","4,007    ","4,047    "
Georgia.................................................................................,592    ,912    ,"1,376    ","1,841    ","2,427    ","2,802    ","2,878    ","3,021    ","3,317    ","3,539    ","3,537    ","3,282    ","3,108    ","3,203    ","3,263    ","3,338    ","3,387    ","3,520    ","3,665    ","3,759    ","3,887    ","4,092    ","4,075    "
Kentucky.................................................................................,582    ,852    ,"1,226    ","1,757    ","2,276    ","2,635    ","2,763    ","2,932    ","3,158    ","3,217    ","3,293    ","3,223    ","3,178    ","3,349    ","3,451    ","3,506    ","3,596    ","3,742    ","3,808    ","3,876    ","3,988    ","4,243    ","4,329    "
Louisiana.................................................................................,622    ,"1,068    ","1,269    ","1,656    ","2,213    ","2,728    ","2,911    ","3,180    ","3,732    ","4,021    ","4,050    ","3,916    ","3,574    ","3,647    ","3,685    ","3,757    ","3,895    ","3,941    ","3,889    ","4,274    ","4,352    ","4,498    ","4,410    "
Mississippi.................................................................................,514    ,755    ,"1,005    ","1,335    ","1,963    ","2,282    ","2,456    ","2,583    ","2,824    ","3,009    ","3,114    ","3,065    ","3,007    ","3,125    ","3,253    ","3,424    ","3,506    ","3,660    ","3,613    ","3,664    ","3,766    ","3,971    ","3,970    "
North Carolina.................................................................................,576    ,865    ,"1,372    ","1,860    ","2,388    ","2,714    ","2,932    ","3,150    ","3,469    ","3,648    ","3,663    ","3,387    ","3,440    ","3,523    ","3,533    ","3,617    ","3,656    ","3,829    ","3,952    ","3,993    ","4,112    ","4,287    ","4,209    "
South Carolina.................................................................................,527    ,823    ,"1,254    ","1,577    ","2,052    ","2,376    ","2,660    ","2,773    ","2,873    ","3,125    ","3,039    ","2,960    ","2,859    ","2,942    ","3,029    ","3,184    ","3,274    ","3,439    ","3,448    ","3,535    ","3,757    ","3,927    ","4,057    "
Tennessee.................................................................................,548    ,762    ,"1,177    ","1,547    ","1,976    ","2,236    ","2,542    ","2,667    ","2,833    ","3,026    ","3,033    ","2,865    ","2,880    ","2,994    ","2,986    ","3,085    ","3,080    ","3,243    ","3,292    ","3,282    ","3,506    ","3,670    ","3,719    "
Virginia.................................................................................,668    ,"1,003    ","1,543    ","1,994    ","2,499    ","3,038    ","3,347    ","3,657    ","3,943    ","4,176    ","4,164    ","3,965    ","3,908    ","4,014    ","4,065    ","4,199    ","4,203    ","4,454    ","4,543    ","4,765    ","5,072    ","5,434    ","5,597    "
West Virginia.................................................................................,606    ,955    ,"1,272    ","1,666    ","2,121    ","2,587    ","2,755    ","3,077    ","3,249    ","3,314    ","3,490    ","3,509    ","3,545    ","3,756    ","3,802    ","3,886    ","3,945    ","4,075    ","3,944    ","3,950    ","4,169    ","4,415    ","4,278    "
,,,,,,,,,,,,,,,,,,,,,,,
Southwest.................................................................................,636    ,"1,029    ","1,375    ","1,853    ","2,258    ","2,679    ","2,860    ","3,022    ","3,282    ","3,497    ","3,564    ","3,476    ","3,352    ","3,483    ","3,642    ","3,780    ","3,890    ","3,989    ","3,941    ","4,032    ","4,328    ","4,639    ","4,600    "
Arizona.................................................................................,793    ,"1,000    ","1,583    ","2,008    ","2,290    ","2,645    ","2,862    ","3,037    ","3,439    ","3,783    ","3,572    ","3,249    ","3,139    ","3,333    ","3,374    ","3,512    ","3,398    ","3,475    ","3,679    ","3,767    ","3,920    ","4,212    ","4,136    "
New Mexico.................................................................................,611    ,"1,091    ","1,342    ","1,796    ","2,463    ","2,637    ","2,877    ","3,170    ","3,590    ","3,743    ","3,633    ","3,514    ","3,209    ","3,491    ","3,781    ","3,704    ","3,950    ","4,123    ","3,752    ","3,890    ","4,056    ","5,085    ","4,997    "
Oklahoma.................................................................................,588    ,"1,150    ","1,232    ","1,631    ","2,150    ","2,520    ","2,685    ","2,851    ","3,148    ","3,252    ","3,364    ","3,361    ","3,060    ","3,213    ","3,474    ","3,480    ","3,560    ","3,769    ","3,530    ","3,473    ","3,816    ","4,226    ","4,165    "
Texas.................................................................................,620    ,"1,004    ","1,362    ","1,865    ","2,251    ","2,717    ","2,886    ","3,033    ","3,235    ","3,440    ","3,587    ","3,548    ","3,461    ","3,561    ","3,723    ","3,897    ","4,054    ","4,136    ","4,077    ","4,184    ","4,519    ","4,767    ","4,744    "
,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain.................................................................................,742    ,"1,147    ","1,529    ","1,931    ","2,425    ","2,834    ","3,011    ","3,246    ","3,529    ","3,742    ","3,867    ","3,752    ","3,596    ","3,746    ","3,810    ","3,952    ","4,025    ","4,188    ","4,231    ","4,415    ","4,725    ","5,046    ","5,003    "
Colorado.................................................................................,799    ,"1,124    ","1,630    ","2,044    ","2,596    ","3,086    ","3,170    ","3,365    ","3,635    ","3,872    ","4,006    ","3,905    ","3,858    ","3,980    ","4,075    ","4,271    ","4,369    ","4,528    ","4,650    ","4,899    ","5,201    ","5,628    ","5,668    "
Idaho.................................................................................,619    ,841    ,"1,194    ","1,782    ","2,245    ","2,452    ","2,734    ","2,934    ","3,072    ","3,147    ","3,209    ","2,938    ","2,792    ","2,991    ","3,039    ","3,162    ","3,214    ","3,392    ","3,492    ","3,667    ","3,805    ","3,866    ","4,074    "
Montana.................................................................................,756    ,"1,204    ","1,387    ","1,944    ","2,197    ","2,346    ","2,626    ","2,911    ","3,191    ","3,381    ","3,526    ","3,629    ","3,356    ","3,478    ","3,603    ","3,790    ","3,834    ","4,036    ","3,804    ","3,949    ","4,244    ","4,469    ","4,471    "
Utah.................................................................................,627    ,950    ,"1,366    ","1,695    ","2,265    ","2,582    ","2,715    ","2,929    ","3,202    ","3,500    ","3,519    ","3,257    ","3,121    ","3,290    ","3,365    ","3,512    ","3,506    ","3,661    ","3,800    ","4,039    ","4,496    ","4,767    ","4,467    "
Wyoming.................................................................................,979    ,"2,383    ","2,343    ","2,339    ","2,589    ","3,659    ","4,464    ","5,226    ","6,117    ","6,070    ","6,777    ","7,268    ","6,237    ","6,476    ","6,121    ","5,756    ","6,118    ","6,265    ","5,441    ","4,857    ","5,019    ","5,599    ","5,353    "
,,,,,,,,,,,,,,,,,,,,,,,
Far West [3].................................................................................,"1,003    ","1,263    ","1,848    ","2,346    ","2,796    ","3,333    ","3,650    ","3,947    ","4,481    ","4,702    ","4,799    ","4,414    ","4,461    ","4,724    ","4,625    ","5,016    ","5,164    ","5,516    ","5,720    ","5,936    ","6,487    ","6,870    ","6,616    "
California.................................................................................,"1,068    ","1,308    ","1,902    ","2,389    ","2,810    ","3,453    ","3,770    ","4,098    ","4,726    ","4,962    ","5,082    ","4,631    ","4,690    ","4,993    ","4,831    ","5,311    ","5,466    ","5,873    ","6,080    ","6,283    ","6,919    ","7,349    ","7,001    "
Nevada.................................................................................,834    ,"1,153    ","1,597    ","2,031    ","2,725    ","2,970    ","3,423    ","3,754    ","3,916    ","4,016    ","4,002    ","3,774    ","3,762    ","3,781    ","3,843    ","3,983    ","4,012    ","4,149    ","4,331    ","4,540    ","4,722    ","4,934    ","4,800    "
Oregon.................................................................................,777    ,"1,100    ","1,625    ","2,088    ","2,487    ","2,558    ","2,931    ","3,070    ","3,392    ","3,421    ","3,389    ","3,357    ","3,513    ","3,662    ","3,800    ","3,913    ","4,109    ","4,368    ","4,467    ","4,725    ","4,990    ","5,422    ","5,202    "
Washington.................................................................................,796    ,"1,127    ","1,707    ","2,317    ","2,921    ","3,222    ","3,465    ","3,668    ","3,946    ","4,261    ","4,352    ","4,075    ","4,014    ","4,218    ","4,269    ","4,425    ","4,560    ","4,763    ","5,038    ","5,325    ","5,759    ","5,971    ","6,155    "
,,,,,,,,,,,,,,,,,,,,,,,
Alaska [4].................................................................................,"2,319    ","6,252    ","3,079    ","3,892    ","3,960    ","3,219    ","3,578    ","4,402    ","5,411    ","7,269    ","14,609    ","9,343    ","8,582    ","10,040    ","11,877    ","9,211    ","6,888    ","4,198    ","3,625    ","4,112    ","4,833    ","5,099    ","4,523    "
Hawaii.................................................................................,950    ,"1,390    ","1,982    ","2,950    ","3,237    ","3,452    ","3,840    ","4,363    ","4,860    ","4,986    ","5,070    ","4,877    ","4,954    ","4,895    ","5,338    ","5,665    ","5,663    ","6,021    ","6,341    ","6,485    ","7,133    ","7,627    ","7,480    "
"[1] Tax collections exclude federal aid, user charges, and miscellaneous general revenue.",,,,,,,,,,,,,,,,,,,,,,,
[2] Population data are for the midpoint of the observation year.,,,,,,,,,,,,,,,,,,,,,,,
"[3] Alaska and Hawaii are excluded from the Far West regional totals, but are included in the U.S. totals.",,,,,,,,,,,,,,,,,,,,,,,
"[4] Because most of Alaska's revenue is derived from the taxation of oil production and the income of oil companies, the recent figures greatly overstate ",,,,,,,,,,,,,,,,,,,,,,,
"the actual tax collected from the residents of the state.  To a lesser extent, this is true of other states that derive revenue from severance taxes.",,,,,,,,,,,,,,,,,,,,,,,
"Suggested Citation: US Census Bureau. 2000, updated annually. Annual Survey of State and Local Government Finances, 1977-2020. Compiled by the Urban-Brookings Tax Policy Center. Washington, DC: Urban-Brookings Tax Policy Center (1977-2020). Date of Access: (7-Jul-2022).",,,,,,,,,,,,,,,,,,,,,,,